entity
Albemarle
Arlington
Chesterfield
Fairfax
Henrico
"James City"
Loudoun
"Prince William"
"Alexandria, city of"
"Charlottesville, city of"
"Danville, city of"
"Fairfax, city of"
"Falls Church, city of"
"Fredericksburg, city of"
"Hampton, city of"
"Harrisonburg, city of"
"Lexington, city of"
"Manassas, city of"
"Manassas Park, city of"
"Martinsville, city of"
"Newport News, city of"
"Norfolk, city of"
"Richmond, city of"
"Roanoke, city of"
"Staunton, city of"
"Williamsburg, city of"
"Winchester, city of"
